City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Wajir,KE,75.85,scattered clouds,1.7471,40.0573,Mahatallah Hotel
313,Oranjestad,AW,85.95,few clouds,12.524,-70.027,Divi Village Golf & Beach Resort
314,Ormara,PK,81.64,moderate rain,25.2088,64.6357,Kenara Colony House for Rent
317,Lamu,KE,73.62,scattered clouds,-2.2717,40.902,Lamu House
318,Gat,IL,79.81,clear sky,31.61,34.7642,OlusHome
319,Zhanaozen,KZ,71.64,clear sky,43.3,52.8,K.korabay 28A
322,Kloulklubed,PW,75.7,scattered clouds,7.0419,134.2556,Storyboard Beach Resort
323,Kalmunai,LK,79.88,overcast clouds,7.4167,81.8167,VS Villa
324,Alofi,NU,76.89,broken clouds,-19.0595,-169.9187,Taloa Heights
325,Gallipoli,TR,73.26,clear sky,40.4103,26.6708,Oya Hotel
326,Camapua,BR,84.02,clear sky,-19.5314,-54.0439,Comercial Estrela
327,Flin Flon,CA,74.61,overcast clouds,54.7682,-101.865,Victoria Inn Flin Flon
328,Zharkent,KZ,72.59,clear sky,44.1628,80.0,гостиница Satti
331,Tres Lagoas,BR,81.43,clear sky,-20.7511,-51.6783,Druds Express Hotel
333,Acapulco,MX,85.82,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
336,Buluang,PH,77.4,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
337,Pontianak,ID,75.18,broken clouds,-0.0333,109.3333,Aston Pontianak Hotel & Convention Center
338,Kulhudhuffushi,MV,81.57,overcast clouds,6.6221,73.07,Haajy Guest House 1
341,Korla,CN,80.2,few clouds,41.7597,86.1469,Gulisitan Hotel
342,Aksu,CN,82.29,clear sky,41.1231,80.2644,Pudong Holiday Hotel
348,Saint Anthony,US,79.9,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
350,Miri,MY,75.79,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
351,Malanje,AO,70.23,clear sky,-9.5402,16.341,Hotel Ginga
354,Sola,VU,80.15,clear sky,-13.8833,167.55,Leumerus Bungalows
358,Nangong,CN,72.9,broken clouds,37.3581,115.3744,7Days Inn Xingtai South Yucai Road
359,Utica,US,79.92,few clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
360,Harper,LR,73.76,scattered clouds,4.375,-7.7169,Screensaver
363,Dicabisagan,PH,78.3,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
367,Dongsheng,CN,71.04,light rain,39.8161,109.9776,Crowne Plaza Ordos
369,Jining,CN,73.94,overcast clouds,35.405,116.5814,Yunhe Star Hotel
371,Sao Joao Da Barra,BR,73.49,clear sky,-21.6403,-41.0511,Pousada Porto De Canoas
374,Tambura,SS,71.55,light rain,5.6,27.4667,Rikito Lodge
378,Cabedelo,BR,75.87,broken clouds,-6.9811,-34.8339,Pousada Camboinha
380,Shu,KZ,79.05,clear sky,43.5983,73.7614,Shyngyzkhan
385,Beyneu,KZ,76.89,clear sky,45.3167,55.2,NUR
386,Campbellton,CA,75.54,overcast clouds,48.0075,-66.6727,Super 8 by Wyndham Campbellton NB
388,Sakaiminato,JP,76.05,few clouds,35.55,133.2333,Italian pasley
390,Porto Novo,BJ,76.51,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
398,Bontang,ID,75.52,broken clouds,0.1333,117.5,KOPKAR Hotel Bintang Sintuk
400,Fare,PF,76.66,moderate rain,-16.7,-151.0167,Maitai Lapita Village Huahine
402,Hamilton,US,82.26,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
404,Nyaunglebin,MM,77.94,broken clouds,17.95,96.7333,Thi ha
405,Luancheng,CN,71.08,clear sky,37.8792,114.6517,Shell Hebei Shijiazhuang Luancheng Xinyuan Road Hotel
410,Buala,SB,81.01,light rain,-8.145,159.5921,Maringe Lagoon Lodge
411,Tateyama,JP,79.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
413,Mayo,US,87.78,heavy intensity rain,38.8876,-76.5119,Resorts Resource Group International
414,Bathsheba,BB,83.01,scattered clouds,13.2167,-59.5167,Atlantis Hotel
418,Talara,PE,72.36,clear sky,-4.5772,-81.2719,Hostal Oro Negro
419,Lucapa,AO,70.59,clear sky,-8.4192,20.7447,Lírio Mendes
421,Aden,YE,84.97,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
424,Saint-Georges,GD,87.48,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
426,Turan,VN,76.98,few clouds,16.0678,108.2208,Grand Mercure Danang
427,Hindaun,IN,79.81,scattered clouds,26.7167,77.0167,Shri Ganesham Resort and Water Park
428,Grand-Santi,GF,80.1,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
430,Nagod,IN,78.04,moderate rain,24.5667,80.6,Aman kirna stor
432,Long Xuyen,VN,76.95,overcast clouds,10.3833,105.4167,Nhà nghĩ Vy Linh
434,Kumluca,TR,85.06,clear sky,36.3703,30.2869,Akkol Apart
435,Salinas,US,81.99,clear sky,36.6777,-121.6555,Laurel Inn & Conference Center
436,Vilhena,BR,85.77,scattered clouds,-12.7406,-60.1458,Hotel Mirage
437,Ouricuri,BR,76.96,overcast clouds,-7.8825,-40.0817,Sertão Pousada
438,Pirojpur,BD,79.14,overcast clouds,22.5667,89.9833,"Circuit House, Pirojpur"
439,Samarai,PG,78.89,overcast clouds,-10.6167,150.6667,Nuli Sapi
441,Linfen,CN,74.05,clear sky,36.0889,111.5189,Suoxing Hotel
442,Jalu,LY,85.89,clear sky,29.0331,21.5482,صاحبة الفخامة
444,Vila Velha,BR,73.35,clear sky,-20.3297,-40.2925,Hotel Vitória Palace
445,Kaifeng,CN,74.05,clear sky,34.7911,114.3483,Pullman Kaifeng Jianye
447,Come,BJ,76.35,overcast clouds,6.4076,1.882,Gbehoue
451,The Valley,AI,85.82,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
453,Fano,IT,85.78,clear sky,43.8204,13.0121,Hotel Paradise Fano
454,Morondava,MG,71.17,scattered clouds,-20.2833,44.2833,La Case Bambou
455,Stonewall,CA,77.72,broken clouds,50.1344,-97.3268,Rockwood Motor Inn & Motel
460,Sri Aman,MY,72.55,overcast clouds,1.2376,111.4621,Seri Simanggang Hotel
