City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
127,Palmer,US,42.1584,-72.3287,89.06,55,75,17.27,broken clouds
128,Umm Lajj,SA,25.0213,37.2685,85.71,60,35,2.91,scattered clouds
129,Myaundzha,RU,63.0494,147.1858,61.47,51,40,2.48,scattered clouds
130,Moses Lake,US,47.1301,-119.2781,100.89,15,4,2.33,clear sky
131,San Patricio,US,28.017,-97.5169,97.52,43,2,17.63,clear sky
132,Townsville,AU,-19.25,146.8,59.88,94,75,2.3,broken clouds
133,Parkersburg,US,39.2667,-81.5615,85.28,64,20,4.61,few clouds
134,Tasiilaq,GL,65.6145,-37.6368,44.76,89,100,3.13,overcast clouds
135,Nelson Bay,AU,-32.7167,152.15,54.0,96,51,11.01,broken clouds
136,Ballina,AU,-28.8667,153.5667,53.02,99,2,5.19,clear sky
137,College,US,64.8569,-147.8028,74.07,58,100,1.01,overcast clouds
138,Kondoa,TZ,-4.9,35.7833,56.41,81,31,4.63,scattered clouds
139,New Norfolk,AU,-42.7826,147.0587,51.3,89,98,0.94,overcast clouds
140,Orizona,BR,-17.0314,-48.2958,74.05,36,0,6.69,clear sky
141,Kem,RU,64.9555,34.5793,54.21,71,89,7.45,overcast clouds
142,Nouadhibou,MR,20.931,-17.0347,69.93,88,0,15.77,clear sky
143,Phangnga,TH,8.4509,98.5298,77.04,94,100,3.04,overcast clouds
144,Ternate,ID,0.8,127.4,79.84,80,90,4.16,overcast clouds
145,Dukat,RU,62.55,155.55,62.65,45,17,7.02,few clouds
146,Lewistown,US,40.5992,-77.5714,90.19,69,0,9.22,clear sky
147,Khandyga,RU,62.6667,135.6,61.38,81,37,3.78,scattered clouds
148,Terney,RU,45.0503,136.6092,68.04,87,0,4.56,clear sky
149,Abu Dhabi,AE,24.4667,54.3667,96.91,64,0,5.75,clear sky
150,Acarau,BR,-2.8856,-40.12,79.12,71,65,16.22,broken clouds
151,Strezhevoy,RU,60.7333,77.5889,55.83,94,62,5.08,light rain
152,Dingle,PH,10.9995,122.6711,75.65,91,83,3.04,light rain
153,Nemuro,JP,43.3236,145.575,62.51,90,3,1.32,clear sky
154,Cockburn Town,TC,21.4612,-71.1419,81.88,82,13,21.99,few clouds
155,Kahului,US,20.8947,-156.47,87.82,60,20,26.46,few clouds
156,Suoyarvi,RU,62.0833,32.35,59.9,87,90,3.78,overcast clouds
157,Touros,BR,-5.1989,-35.4608,75.74,73,66,15.64,broken clouds
158,Ust-Nera,RU,64.5667,143.2,68.99,45,9,4.09,clear sky
159,Kodiak,US,57.79,-152.4072,65.71,59,0,9.22,clear sky
160,Waipawa,NZ,-41.4122,175.5153,51.84,96,100,14.41,overcast clouds
161,Cayenne,GF,4.9333,-52.3333,86.04,16,92,9.22,overcast clouds
162,Maningrida,AU,-12.0667,134.2667,61.77,95,12,7.81,few clouds
163,Pingliang,CN,35.5392,106.6861,70.39,89,21,7.14,few clouds
164,Clyde River,CA,70.4692,-68.5914,41.88,79,76,3.13,broken clouds
165,Hasaki,JP,35.7333,140.8333,79.29,91,42,14.72,scattered clouds
166,Zhezkazgan,KZ,47.8043,67.7144,77.4,27,89,11.81,overcast clouds
167,Tuktoyaktuk,CA,69.4541,-133.0374,55.4,76,75,13.8,broken clouds
168,Vostok,RU,46.4856,135.8833,61.65,97,18,1.19,few clouds
169,Tabas,IR,33.5959,56.9244,97.21,15,0,11.95,clear sky
170,Ishigaki,JP,24.3448,124.1572,84.34,74,27,2.53,scattered clouds
171,Rudnogorsk,RU,57.2639,103.7519,57.72,98,100,8.99,moderate rain
172,Bam,IR,29.106,58.357,87.76,45,99,1.54,overcast clouds
173,Nyurba,RU,63.2842,118.3319,68.81,89,13,4.72,few clouds
174,Darhan,MN,49.4867,105.9228,54.7,89,100,5.75,light rain
175,Gympie,AU,-26.1898,152.665,52.02,97,2,2.24,clear sky
176,Kimbe,PG,-5.5502,150.1429,77.4,86,44,3.67,scattered clouds
177,Chemainus,CA,48.9163,-123.7194,84.02,53,4,5.53,clear sky
178,Urumqi,CN,43.801,87.6005,76.15,36,0,4.47,clear sky
179,Naze,JP,28.3667,129.4833,79.27,82,6,3.18,clear sky
180,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,73.9,80,19,10.22,few clouds
181,Sinnamary,GF,5.3833,-52.95,81.73,77,100,9.17,overcast clouds
182,Quatre Cocos,MU,-20.2078,57.7625,67.08,79,19,11.61,few clouds
183,Victoria,HK,22.2855,114.1577,87.33,80,88,5.99,overcast clouds
